Type,Nr,Name,EP
m,0,0,0.0019
m,1,1,0.0031
m,2,2,0.0026
m,3,3,0.0064
m,4,4,0.0032
m,5,5,0.0024
m,6,6,0.0026
m,7,7,0.0015
m,8,8,0.0023
m,9,9,0.0402
m,10,10,0.1705
m,11,11,0.0152
m,12,12,0.2458
m,13,13,0.0024
m,14,14,0.0025
m,15,15,0.0295
m,16,16,0.0016
m,17,17,0.0027
m,18,18,0.0037
m,19,19,0.0031
m,20,20,0.003
m,21,21,0.0292
m,22,22,0.1407
m,23,23,0.009
m,24,24,0.1404
m,25,25,0.0023
m,26,26,0.0021
m,27,27,0.0016
m,28,28,0.0024
m,29,29,0.0019
m,30,30,0.0026
m,31,31,0.0018
m,32,32,0.0044
m,33,33,0.0033
m,34,34,0.0055
m,35,35,0.0034
m,36,36,0.0035
m,37,37,0.0031
m,38,38,0.0027
m,39,39,0.0027
m,40,40,0.0015
m,41,41,0.0023
m,42,42,0.0018
m,43,43,0.0024
m,44,44,0.0021
m,45,45,0.003
m,46,46,0.0033
m,47,47,0.0101
m,48,48,0.0033
m,49,49,0.0014
m,50,50,0.0023
m,51,51,0.0027
m,52,52,0.0029
m,53,53,0.0023
m,54,54,0.0024
m,55,55,0.0027
m,56,56,0.0017
m,57,57,0.0022
m,58,58,0.0021
m,59,59,0.0034
m,60,60,0.0016
m,61,61,0.0018
m,62,62,0.0029
m,63,63,0.0018
m,64,64,0.0026
m,65,65,0.002
m,66,66,0.0117
m,67,67,0.002
m,68,68,0.0013
m,69,69,0.0019
m,70,70,0.002
m,71,71,0.0019
m,72,72,0.0018
